"STDG_SGG_CD","SGG_NM","POR","HMTY_","SKY_STTS","NOW_AIRTP","N3HS_AIRTP","N1HR_RN","PCPTTN_SHP","FRCST_CRTR_TM","PRCON_CRTR_TM","XMAP_CRTS","YMAP_CRTS"
"법정동시군구코드","시군구명","강수확률","습도","하늘상태","현재기온","3시간기온","1시간강수량","강수형태","예보기준시각","현황기준시각","X지도좌표","Y지도좌표"
"51760","평창군","0","30","1","-4.4","","0","0","1400","1600","14302647","4517058"
"51770","정선군","0","25","1","-4.1","","0","0","1400","1600","14331166","4492067"
"51780","철원군","0","40","1","-6.2","","0","0","1400","1600","14181766","4613138"
"51790","화천군","0","45","1","-4.2","","0","0","1400","1600","14213853","4599018"
"51800","양구군","0","40","1","-4.8","","0","0","1400","1600","14248908","4604240"
"51810","인제군","0","40","1","-4.5","","0","0","1400","1600","14278362","4588630"
"51820","고성군","0","20","1","-2","","0","0","1400","1600","14294772","4630585"
"51830","양양군","0","20","1","-1.6","","0","0","1400","1600","14315161","4580091"
"52111","전주시 완산구","0","40","1","-1.1","","0","0","1400","1600","14150844","4272085"
"52113","전주시 덕진구","0","40","1","-1.1","","0","0","1400","1600","14150504","4282704"
"52130","군산시","0","45","1","-1.6","","0","0","1400","1600","14114973","4295825"
"52140","익산시","0","40","1","-0.8","","0","0","1400","1600","14136405","4303810"
"52180","정읍시","0","45","1","-1.5","","0","0","1400","1600","14127097","4246091"
"52190","남원시","0","35","1","-1.1","","0","0","1400","1600","14185336","4225688"
"52210","김제시","0","45","1","-1.6","","0","0","1400","1600","14122134","4275433"
"52710","완주군","0","40","1","-1.1","","0","0","1400","1600","14162402","4290030"
"52720","진안군","0","35","1","-3.5","","0","0","1400","1600","14185454","4277124"
"52730","무주군","0","30","1","-2.4","","0","0","1400","1600","14216940","4292294"
"52740","장수군","0","30","1","-3.6","","0","0","1400","1600","14198174","4253621"
"52750","임실군","0","35","1","-2","","0","0","1400","1600","14163919","4245495"
"52770","순창군","0","35","1","-1.4","","0","0","1400","1600","14147582","4222973"
"52790","고창군","20","45","3","-1.8","","0","0","1400","1600","14094833","4225058"
"52800","부안군","20","40","3","-1.1","","0","0","1400","1600","14098574","4257665"
"41650","포천시","0","30","1","","","","","1400","","14165457","4575205"
"43114","청주시 청원구","0","30","1","-3.6","","0","0","1400","1600","14192267","4400231"
"43770","음성군","0","25","1","-3.8","","0","0","1400","1600","14196982","4436661"
"44210","서산시","0","50","1","-2.8","","0","0","1400","1600","14080202","4404752"
"44800","홍성군","0","45","1","-3.1","","0","0","1400","1600","14095922","4379358"
"46230","광양시","0","20","1","1.9","","0","0","1400","1600","14210062","4167541"
"48240","사천시","0","15","1","3.1","","0","0","1400","1600","14260924","4165708"
"48820","고성군","0","15","1","2.5","","0","0","1400","1600","14281240","4166085"
"50110","제주시","30","60","4","3.2","","0","0","1400","1600","14085152","3953631"
"51230","삼척시","0","15","1","0.8","","0","0","1400","1600","14373768","4477906"
"27200","남구","0","15","1","-0.1","","0","0","1400","1600","14314062","4277960"
"27230","북구","0","15","1","-0.1","","0","0","1400","1600","14313151","4290784"
"27260","수성구","0","15","1","-0.1","","0","0","1400","1600","14322509","4277802"
"27290","달서구","0","15","1","-0.7","","0","0","1400","1600","14307813","4276921"
"27710","달성군","0","20","1","-0.7","","0","0","1400","1600","14305589","4263878"
"27720","군위군","0","20","1","-0.6","","0","0","1400","1600","14321039","4324071"
"28110","중구","0","30","1","-4.7","","0","0","1400","1600","14078330","4505651"
"28140","동구","0","30","1","","","","","1400","","14095941","4507149"
"28170","남구","0","30","1","-4.7","","0","0","1400","1600","14100237","4502380"
"28185","연수구","0","30","1","","","","","1400","","14098228","4494479"
"28200","남동구","0","30","1","","","","","1400","","14109972","4500468"
"28237","부평구","0","30","1","-4.5","","0","0","1400","1600","14106541","4508566"
"28245","계양구","0","30","1","-4.5","","0","0","1400","1600","14108044","4517074"
"28260","서구","0","30","1","-4.6","","0","0","1400","1600","14099574","4512926"
"28710","강화군","0","35","1","-5.1","","0","0","1400","1600","14075669","4537888"
"28720","옹진군","0","30","1","-4.7","","0","0","1400","1600","13879055","4572901"
"29110","동구","20","40","3","-1.9","","0","0","1400","1600","14131947","4179847"
"29140","서구","20","40","3","-1.1","","0","0","1400","1600","14120956","4182335"
"29155","남구","20","40","3","","","","","1400","","14121631","4176672"
"29170","북구","20","40","3","","","","","1400","","14129273","4190179"
"29200","광산구","20","45","3","-1","","0","0","1400","1600","14110067","4186333"
